calid;year;antal;seats;seats_taken;navn
54;2022;25;440;202;SC
54;2023;34;660;301;SC
54;2024;22;393;226;SC
54;2025;24;420;301;SC
54;2026;14;238;147;SC
55;2022;32;944;329;city
55;2023;49;1419;471;city
55;2024;31;922;256;city
55;2025;17;366;141;city
55;2026;8;152;64;city
6416;2022;67;1422;815;datalab
6416;2023;74;1725;936;datalab
6416;2024;76;1824;1197;datalab
6416;2025;81;2008;1407;datalab
6416;2026;47;1479;940;datalab
6646;2022;10;430;227;forskerservice
6646;2023;8;282;147;forskerservice
6646;2024;4;140;87;forskerservice
6646;2025;4;255;199;forskerservice
6646;2026;2;70;29;forskerservice
7422;2022;10;300;153;The libraries formerly known as Nørre Alle and DVJB
7422;2023;76;3297;1080;The libraries formerly known as Nørre Alle and DVJB
7422;2024;94;3723;1031;The libraries formerly known as Nørre Alle and DVJB
7422;2025;101;3342;1055;The libraries formerly known as Nørre Alle and DVJB
7422;2026;71;2145;574;The libraries formerly known as Nørre Alle and DVJB
